,media,BDP,CVP,EVP,FDP,GLP,Grüne,SP,SVP
0,Blick,1.0,5.0,1.0,5.0,2.0,2.0,1.0,4.0
1,20min,1.0,8.0,3.0,10.0,3.0,2.0,6.0,8.0
2,NZZ,1.0,3.0,,3.0,3.0,2.0,4.0,1.0
3,FAZ,,,,,,,1.0,
4,Thurgauer Zeitung,,1.0,,,,,,
5,SRF,,5.0,2.0,12.0,5.0,2.0,14.0,7.0
6,Die Zeit,,,,,,,1.0,
7,WOZ,1.0,,,,,,,
8,il Matino,1.0,,,,,,,
9,WazonNews,,1.0,,,,,,
10,nada,,,,,,1.0,,
11,nau.ch,,,,,,,,1.0
12,24 heures,1.0,,,1.0,,,,
13,Tagesanzeiger,,1.0,1.0,2.0,1.0,,3.0,
14,Watson,1.0,,1.0,4.0,1.0,1.0,1.0,1.0
15,Corriere del Ticino,1.0,,,,,,,
16,,,1.0,,,,,,
17,nūt amk alles lw vallah insta langed,,,,,,,,1.0
18,keine,,,,,,1.0,,
19,Landbote,,,,,,,1.0,
20,Weltwoche,,1.0,,,,,,1.0
